job_title,company,location,skills,description
Software Developer,Nexus Tech Labs,Bangalore / Remote,"Python, Java, Git, REST APIs, Docker, SQL, Unit Testing","Nexus Tech Labs is seeking a motivated Software Developer to join our core backend engineering team. Responsibilities include designing scalable REST APIs, writing clean modular code in Python and Java, writing automated tests, and collaborating with frontend and DevOps engineers. Candidate should possess a solid understanding of data structures, algorithms, version control with Git, and containerization with Docker."
Data Analyst,FinMetrics Global,Mumbai / Hybrid,"Python, SQL, Tableau, Power BI, Excel, Pandas, Statistics","FinMetrics Global is hiring a Data Analyst to transform complex business transaction datasets into actionable dashboards and executive reports. Key duties: querying relational databases using advanced SQL, cleaning and processing structured data using Pandas, performing exploratory statistical analysis, and creating interactive dashboards in Tableau and Power BI. Experience with financial metrics and A/B test reporting is a plus."
Data Scientist,Cognitive Insights AI,Hyderabad / Remote,"Python, Scikit-learn, Pandas, Statistics, Machine Learning, NLP, SQL","Cognitive Insights AI seeks an enthusiastic Data Scientist to build predictive models and extract deep intelligence from multi-source consumer data. You will formulate hypotheses, train machine learning algorithms (Random Forest, XGBoost, Regression), evaluate models using precision/recall metrics, and build data pipelines. Proficiency in Python data science libraries (NumPy, Scikit-learn) and SQL is required."
Machine Learning Engineer,TensorFlow Dynamics,Bengaluru / Onsite,"Python, PyTorch, TensorFlow, MLOps, Docker, FastAPI, Scikit-learn","TensorFlow Dynamics is looking for an ML Engineer to take computer vision and NLP models from research into production environments. You will optimize inference latencies, build deployment microservices with FastAPI and Docker, track experiments with MLflow, and monitor model drift. Strong software engineering skills combined with deep learning fundamentals are essential."
Web Developer,PixelCraft Studios,Pune / Hybrid,"JavaScript, React, HTML5, CSS3, Tailwind CSS, TypeScript, REST APIs","PixelCraft Studios is seeking a Creative Web Developer to build high-performance, responsive web interfaces for our client-facing products. Responsibilities include translating Figma UI designs into responsive React/TypeScript components, managing client-side state, integrating RESTful backend endpoints, and optimizing core web vitals and cross-browser accessibility."
Backend Developer,CloudScale Systems,Noida / Remote,"Python, FastAPI, PostgreSQL, Redis, Docker, Microservices, CI/CD","CloudScale Systems is looking for a Backend Developer responsible for server-side architecture and data persistence pipelines. You will design and implement resilient REST and gRPC services using FastAPI and Python, optimize PostgreSQL query performance, implement caching with Redis, and participate in automated CI/CD releases on Kubernetes."
Frontend Developer,ModernUI Labs,Chennai / Remote,"React, Next.js, TypeScript, Redux Toolkit, CSS Grid, Jest","ModernUI Labs is hiring a dedicated Frontend Developer to craft seamless single-page and server-rendered web applications. You will work closely with UX designers to develop reusable UI component libraries using React, Next.js, and TypeScript, implement robust error boundaries, and write unit tests with Jest and React Testing Library."
AI Engineer,Apex Neural Systems,Bangalore / Hybrid,"Python, LangChain, Gemini API, RAG, Vector Databases, FAISS, PyTorch","Apex Neural Systems is building next-generation enterprise Generative AI agents. We are seeking an AI Engineer skilled in Large Language Model (LLM) orchestration, prompt engineering, Retrieval-Augmented Generation (RAG) pipelines, and vector databases like FAISS and ChromaDB. You will prototype and deploy intelligent copilots that ground model responses on internal enterprise knowledge bases."
Cloud Engineer,Skyline InfraCloud,Gurugram / Remote,"AWS, Terraform, Docker, Kubernetes, Linux, CI/CD, Python","Skyline InfraCloud is looking for a Cloud Infrastructure Engineer to automate cloud infrastructure and streamline developer delivery pipelines. Duties include managing AWS environments using Terraform IaC, architecting secure VPC networks, managing Kubernetes clusters (EKS), maintaining container registries, and configuring GitHub Actions CI/CD workflows."
Business Analyst,Vanguard Strategy Partners,Delhi / Hybrid,"SQL, Agile, JIRA, Business Process Modeling, Excel, Data Visualization","Vanguard Strategy Partners is seeking an analytical Business Analyst to bridge the gap between business stakeholders and technical software engineering teams. You will gather business requirements, document user stories and acceptance criteria in JIRA, map process flows, query data warehouses using SQL to validate KPIs, and present analytical findings to executive leadership."
Full Stack Engineer,HyperLink Digital,Kochi / Remote,"React, Node.js, Express, MongoDB, TypeScript, REST APIs, Docker","HyperLink Digital is seeking a versatile Full Stack Developer to build end-to-end features for our software platform. Responsibilities span frontend development in React and TypeScript to backend service creation in Node.js/Express, database schema design in MongoDB, and API documentation with Swagger."
DevOps Engineer,PipelineSec Solutions,Ahmedabad / Remote,"Linux, Bash, Docker, Kubernetes, Jenkins, Prometheus, Grafana, Ansible","PipelineSec Solutions is hiring a DevOps Engineer to champion reliability, observability, and security across distributed microservices. You will automate CI/CD build pipelines, deploy Kubernetes workloads, manage monitoring and alerting dashboards using Prometheus and Grafana, and write infrastructure automation scripts in Bash and Python."
